,,,608,,,,,
2.08,-0.532814114,-0.927398151,-4.272566009,25.13274123,,,,
2.09,-0.575539774,-0.937451248,-4.021238597,25.13274123,,,,
2.1,-0.61575216,-0.94499107,-3.769911184,25.13274123,,,,
2.11,-0.653451272,-0.952530893,-3.518583772,-1.56E-11,,,,
2.12,-0.68863711,-0.955044167,-3.518583772,25.13274123,,,,
2.13,-0.723822947,-0.957557441,-3.26725636,25.13274123,,,,
2.14,-0.756495511,-0.955044167,-3.015928947,1.34E-11,,,,
2.15,-0.7866548,-0.952530893,-3.015928947,25.13274123,,,,
2.16,-0.81681409,-0.947504344,-2.764601535,25.13274123,,,,
2.17,-0.844460105,-0.937451248,-2.513274123,25.13274123,,,,
2.18,-0.869592847,-0.927398151,-2.261946711,25.13274123,,,,
2.19,-0.892212314,-0.914831781,-2.010619298,-6.75E-12,,,,
2.2,-0.912318507,-0.899752136,-2.010619298,50.26548246,,,,
2.21,-0.9324247,-0.882159217,-1.507964474,-5.60E-12,,,,
2.22,-0.947504344,-0.864566298,-1.507964474,25.13274123,,,,
2.23,-0.962583989,-0.841946831,-1.256637061,25.13274123,,,,
2.24,-0.97515036,-0.819327364,-1.005309649,25.13274123,,,,
2.25,-0.985203456,-0.794194623,-0.753982237,2.24E-12,,,,
2.26,-0.992743279,-0.766548607,-0.753982237,50.26548246,,,,
2.27,-1.000283101,-0.741415866,-0.251327412,-1.10E-12,,,,
2.28,-1.002796375,-0.711256577,-0.251327412,50.26548246,,,,
2.29,-1.005309649,-0.678584013,0.251327412,-3.34E-12,,,,
2.3,-1.002796375,-0.643398175,0.251327412,25.13274123,,,,
2.31,-1.000283101,-0.608212338,0.502654825,-2.22E-14,,,,
2.32,-0.995256553,-0.570513226,0.502654825,50.26548246,,,,
2.33,-0.990230004,-0.532814114,1.005309649,25.13274123,,,,
2.34,-0.980176908,-0.492601728,1.256637061,7.82E-12,,,,
2.35,-0.967610537,-0.452389342,1.256637061,25.13274123,,,,
2.36,-0.955044167,-0.409663682,1.507964474,25.13274123,,,,
2.37,-0.939964522,-0.366938022,1.759291886,-8.93E-12,,,,
2.38,-0.922371603,-0.321699088,1.759291886,25.13274123,,,,
2.39,-0.904778684,-0.276460154,2.010619298,50.26548246,,,,
2.4,-0.884672491,-0.231221219,2.513274123,-25.13274123,,,,
